datetime;Accelerometer1RMS;Accelerometer2RMS;Current;Pressure;Temperature;Thermocouple;Voltage;Volume Flow RateRMS;is_anomaly;is_pa
2020-03-01 15:43:50;0.080542;0.12984500000000002;1.9811299999999998;0.054711;94.4255;22.2397;229.813;76.9804;0.0;0.0
2020-03-01 15:43:52;0.0802523;0.132877;1.7065;0.054711;93.8368;22.2397;228.675;76.0199;0.0;0.0
2020-03-01 15:43:53;0.08021439999999999;0.13538;1.39729;0.054711;93.8281;22.245;231.46099999999998;77.0;0.0;0.0
2020-03-01 15:43:54;0.0805499;0.13009;1.73891;-0.27321599999999996;93.9402;22.2364;242.771;76.9804;0.0;0.0
2020-03-01 15:43:55;0.08034780000000001;0.131274;2.2351900000000002;-0.601143;94.3433;22.2379;249.72400000000002;76.0199;0.0;0.0
2020-03-01 15:43:56;0.07973510000000002;0.13346;1.38583;0.054711;94.4385;22.235;212.333;76.9804;0.0;0.0
2020-03-01 15:43:57;0.0803578;0.12864;1.3514899999999999;-0.27321599999999996;93.9389;22.2466;230.19299999999998;76.0199;0.0;0.0
2020-03-01 15:43:58;0.0797949;0.134262;1.0586200000000001;0.054711;93.8941;22.2392;228.273;77.0;0.0;0.0
2020-03-01 15:43:59;0.0800417;0.134142;1.61614;0.38263800000000003;94.395;22.2357;230.641;77.0;0.0;0.0
2020-03-01 15:44:00;0.08090739999999999;0.131877;1.86962;0.38263800000000003;93.913;22.2357;241.63;77.0;0.0;0.0
2020-03-01 15:44:01;0.07937739999999999;0.132392;1.23124;0.054711;94.0747;22.2394;231.44;76.9804;0.0;0.0
2020-03-01 15:44:02;0.08045980000000001;0.12934600000000002;0.626664;0.710565;94.0296;22.2414;208.049;76.0199;0.0;0.0
2020-03-01 15:44:03;0.079453;0.135426;1.19478;0.38263800000000003;94.0782;22.2323;234.4;77.0;0.0;0.0
2020-03-01 15:44:04;0.08047439999999999;0.132436;1.6667599999999998;0.38263800000000003;94.0018;22.2319;239.27;76.9804;0.0;0.0
2020-03-01 15:44:05;0.08035319999999999;0.129644;1.00604;-0.27321599999999996;94.0113;22.2352;227.49599999999998;76.0199;0.0;0.0
2020-03-01 15:44:06;0.080134;0.13432;1.80328;0.054711;93.9842;22.2251;218.99200000000002;76.9804;0.0;0.0
2020-03-01 15:44:07;0.0799596;0.131191;1.85244;0.054711;93.8987;22.2251;220.555;76.0199;0.0;0.0
2020-03-01 15:44:08;0.08061360000000001;0.130498;1.00299;0.054711;93.961;22.2364;225.639;76.9804;0.0;0.0
2020-03-01 15:44:09;0.0798714;0.136152;0.6911430000000001;0.054711;94.075;22.2342;208.752;76.0199;0.0;0.0
2020-03-01 15:44:10;0.0804627;0.13104200000000002;1.22072;0.054711;93.9056;22.2258;246.957;76.9804;0.0;0.0
2020-03-01 15:44:12;0.0808507;0.129487;0.875224;0.054711;94.0593;22.2312;224.687;76.0199;0.0;0.0
2020-03-01 15:44:13;0.0789368;0.13406500000000002;1.11178;0.710565;93.9854;22.2281;217.93599999999998;77.0;0.0;0.0
2020-03-01 15:44:14;0.080709;0.129545;1.37768;-0.27321599999999996;94.0276;22.2332;237.173;76.9804;0.0;0.0
2020-03-01 15:44:15;0.08011130000000001;0.133205;1.6624900000000002;0.38263800000000003;93.883;22.2285;231.03;76.0199;0.0;0.0
2020-03-01 15:44:16;0.08016960000000001;0.135131;1.9061099999999997;0.38263800000000003;94.0657;22.2285;253.727;76.9804;0.0;0.0
2020-03-01 15:44:17;0.08014550000000001;0.130929;1.06971;0.38263800000000003;93.7799;22.2318;230.83900000000003;76.0199;0.0;0.0
2020-03-01 15:44:18;0.08074980000000001;0.129606;1.2540200000000001;0.054711;93.9825;22.2321;229.549;77.0;0.0;0.0
2020-03-01 15:44:19;0.07895579999999999;0.13453199999999998;1.7663900000000001;-0.27321599999999996;93.91;22.2332;229.38099999999997;76.9804;0.0;0.0
2020-03-01 15:44:20;0.0809675;0.12830899999999998;1.75675;0.054711;94.0712;22.2393;243.30599999999998;76.0199;0.0;0.0
2020-03-01 15:44:21;0.0800531;0.132968;1.63224;0.054711;94.0102;22.2379;231.179;76.0199;0.0;0.0
