datetime;Accelerometer1RMS;Accelerometer2RMS;Current;Pressure;Temperature;Thermocouple;Voltage;Volume Flow RateRMS;anomaly;changepoint
2020-02-08 18:10:42;0.240983;0.287449;2.879;0.054711;85.6509;31.3986;239.224;128.0;0.0;0.0
2020-02-08 18:10:43;0.241153;0.285669;2.69642;0.054711;85.6603;31.4021;219.711;128.689;0.0;0.0
2020-02-08 18:10:44;0.246551;0.287455;2.58257;0.382638;85.7871;31.4064;227.685;128.313;0.0;0.0
2020-02-08 18:10:45;0.23868;0.282037;2.2072;0.382638;85.7108;31.4064;231.119;129.379;0.0;0.0
2020-02-08 18:10:46;0.238926;0.285487;0.936421;0.382638;85.9412;31.4226;216.516;128.628;0.0;0.0
2020-02-08 18:10:47;0.2369;0.27957;2.24545;0.054711;85.6742;31.4215;229.614;128.689;0.0;0.0
2020-02-08 18:10:48;0.243254;0.287653;2.68809;-0.273216;85.5937;31.4336;234.352;128.0;0.0;0.0
2020-02-08 18:10:49;0.240433;0.284416;2.62415;0.382638;85.7725;31.42;228.467;128.689;0.0;0.0
2020-02-08 18:10:50;0.241162;0.287767;2.56819;0.054711;85.7899;31.4329;226.699;129.0;0.0;0.0
2020-02-08 18:10:51;0.237054;0.282422;2.549;0.382638;85.5591;31.4146;243.739;128.313;0.0;0.0
2020-02-08 18:10:52;0.235653;0.288073;2.7492;0.382638;85.7962;31.4146;233.518;128.0;0.0;0.0
2020-02-08 18:10:53;0.237622;0.278029;2.39291;-0.601143;85.6864;31.4171;220.877;127.313;0.0;0.0
2020-02-08 18:10:54;0.236778;0.280571;2.93994;-0.273216;85.7526;31.4078;229.456;128.379;0.0;0.0
2020-02-08 18:10:55;0.239816;0.286754;2.80358;0.382638;85.8077;31.4081;235.01;127.628;0.0;0.0
2020-02-08 18:10:56;0.243899;0.291178;2.30263;0.382638;85.6953;31.3912;212.076;128.379;0.0;0.0
2020-02-08 18:10:57;0.236052;0.28197;2.17183;0.054711;85.9658;31.3876;242.283;128.313;0.0;0.0
2020-02-08 18:10:58;0.240918;0.286373;3.06377;0.054711;85.7627;31.3896;249.536;128.0;0.0;0.0
2020-02-08 18:10:59;0.239932;0.28101;2.81302;0.054711;85.6986;31.367;227.222;128.0;0.0;0.0
2020-02-08 18:11:00;0.23784;0.280047;1.85537;0.054711;85.9224;31.3662;203.173;128.0;0.0;0.0
2020-02-08 18:11:01;0.241032;0.285086;2.4364;0.054711;85.8235;31.3662;225.917;128.0;0.0;0.0
2020-02-08 18:11:02;0.241963;0.291084;2.16311;0.710565;85.8515;31.3472;223.77;128.0;0.0;0.0
2020-02-08 18:11:04;0.239065;0.284834;2.32464;0.054711;85.2458;31.3309;228.947;128.0;0.0;0.0
2020-02-08 18:11:05;0.237054;0.282239;2.62465;0.710565;85.2062;31.3151;202.215;128.689;0.0;0.0
2020-02-08 18:11:06;0.240223;0.284755;2.61841;-0.273216;85.1442;31.3151;218.209;128.313;0.0;0.0
2020-02-08 18:11:07;0.243249;0.28697;2.56787;-0.273216;85.4217;31.3122;222.998;128.0;0.0;0.0
2020-02-08 18:11:08;0.236702;0.281164;2.41576;0.054711;85.8236;31.3081;215.067;128.313;0.0;0.0
2020-02-08 18:11:09;0.235213;0.28375;1.82891;0.054711;85.6912;31.3012;230.38;128.689;0.0;0.0
2020-02-08 18:11:10;0.239819;0.281954;2.30979;0.054711;85.7871;31.2938;225.488;128.313;0.0;0.0
2020-02-08 18:11:11;0.254536;0.290086;2.79561;0.054711;85.4306;31.2938;231.814;128.0;0.0;0.0
2020-02-08 18:11:12;0.251504;0.285497;2.62908;-0.273216;85.6891;31.2778;222.154;128.0;0.0;0.0
2020-02-08 18:11:13;0.252434;0.285964;2.57586;-0.273216;85.1226;31.266;228.469;128.0;0.0;0.0
2020-02-08 18:11:14;0.247935;0.285422;2.85823;0.054711;85.2868;31.2589;242.434;128.689;0.0;0.0
2020-02-08 18:11:15;0.254134;0.288193;2.50861;0.382638;85.1886;31.2453;224.907;128.313;0.0;0.0
2020-02-08 18:11:16;0.255672;0.288431;2.33187;-0.273216;85.1147;31.2388;231.052;128.689;0.0;0.0
2020-02-08 18:11:17;0.256262;0.289145;2.65587;0.382638;85.5773;31.2318;202.217;129.0;0.0;0.0
2020-02-08 18:11:18;0.253674;0.291282;2.56197;0.054711;85.0989;31.2259;229.027;129.0;0.0;0.0
2020-02-08 18:11:19;0.249831;0.286558;2.54293;0.054711;85.0998;31.2259;234.873;129.0;0.0;0.0
2020-02-08 18:11:20;0.25464;0.286943;2.49456;-0.273216;85.1156;31.221;207.84;128.313;0.0;0.0
2020-02-08 18:11:21;0.256082;0.290343;0.948053;-0.273216;85.1787;31.2149;207.419;128.0;0.0;0.0
2020-02-08 18:11:22;0.253487;0.284091;3.05006;0.382638;85.1417;31.2141;243.081;128.689;0.0;0.0
2020-02-08 18:11:23;0.243085;0.28733;2.6742;0.382638;85.0602;31.1975;231.797;127.627;0.0;0.0
2020-02-08 18:11:25;0.238905;0.288351;2.66174;0.382638;85.1695;31.1973;227.964;128.379;0.0;0.0
2020-02-08 18:11:26;0.235749;0.279088;1.3323;0.054711;85.2324;31.1788;221.287;128.313;0.0;0.0
2020-02-08 18:11:27;0.233561;0.279968;2.86309;0.054711;85.093;31.1741;247.588;128.0;0.0;0.0
2020-02-08 18:11:28;0.235932;0.279429;2.51501;0.054711;85.1458;31.174;228.201;128.0;0.0;0.0
2020-02-08 18:11:29;0.244526;0.291496;2.9123;0.382638;85.0785;31.1661;245.812;128.0;0.0;0.0
2020-02-08 18:11:30;0.242596;0.286564;2.85374;0.382638;85.2455;31.1661;243.64;128.0;0.0;0.0
